
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-11 20:05:58 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:06:00 /api/online-widget/settings ........................................................ ~ 505.02ms
  2026-03-11 20:06:00 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:06:00 /api/licenses/4 .......................................................................... ~ 1s
  2026-03-11 20:06:03 /api/super-admin/customers ......................................................... ~ 504.09ms
  2026-03-11 20:06:03 /api/super-admin/tenants ................................................................. ~ 1s
  2026-03-11 20:06:04 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:06:04 /api/super-admin/admin-management ........................................................ ~ 1s
  2026-03-11 20:06:05 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:06:06 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:06:06 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:06:07 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:06:07 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:06:07 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:06:08 /api/super-admin/customers ......................................................... ~ 506.57ms
  2026-03-11 20:06:19 /api/super-admin/customers ......................................................... ~ 513.13ms
  2026-03-11 20:06:21 /api/super-admin/customers ......................................................... ~ 501.62ms
  2026-03-11 20:06:22 /api/super-admin/customers ......................................................... ~ 513.05ms
  2026-03-11 20:06:23 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:06:23 /api/auth/login .................................................................... ~ 514.86ms
  2026-03-11 20:06:23 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:06:24 /api/super-admin/dashboard/stats ......................................................... ~ 1s
  2026-03-11 20:06:25 /api/super-admin/dashboard/revenue-trend ................................................. ~ 1s
  2026-03-11 20:06:25 /api/super-admin/dashboard/tenant-comparison ............................................. ~ 1s
  2026-03-11 20:06:26 /api/super-admin/dashboard/license-timeline .............................................. ~ 1s
  2026-03-11 20:06:26 /api/super-admin/dashboard/recent-activity ............................................... ~ 1s
  2026-03-11 20:06:27 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:06:27 /api/programs ...................................................................... ~ 504.93ms
  2026-03-11 20:06:28 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:28 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:29 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:29 /api/reseller/customers ............................................................ ~ 509.29ms
  2026-03-11 20:06:30 /api/reseller/customers ............................................................ ~ 512.62ms
  2026-03-11 20:06:30 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:31 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:31 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:32 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:06:33 /api/reseller/online-users ......................................................... ~ 508.10ms
  2026-03-11 20:06:34 /api/reseller/customers ............................................................ ~ 504.31ms
  2026-03-11 20:06:35 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:06:36 /api/online-widget/settings ........................................................ ~ 500.93ms
  2026-03-11 20:06:37 /api/bios-conflicts ................................................................ ~ 501.78ms
  2026-03-11 20:06:37 /api/online-users ........................................................................ ~ 1s
  2026-03-11 20:06:51 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:06:52 /api/online-widget/settings ........................................................ ~ 509.93ms
  2026-03-11 20:06:52 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:53 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:06:53 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:54 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:55 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:55 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:55 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:56 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:57 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:06:57 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:06:58 /api/reseller/online-users ......................................................... ~ 504.32ms
  2026-03-11 20:07:08 /api/reseller/customers ............................................................ ~ 500.25ms
  2026-03-11 20:07:10 /api/reseller/customers ............................................................ ~ 513.22ms
  2026-03-11 20:07:10 /api/reseller/customers ............................................................ ~ 514.59ms
  2026-03-11 20:07:11 /api/reseller/customers ............................................................ ~ 510.16ms
  2026-03-11 20:07:11 /api/reseller/customers ............................................................ ~ 502.56ms
  2026-03-11 20:07:12 /api/reseller/customers ............................................................ ~ 513.10ms
  2026-03-11 20:07:12 /api/reseller/customers ............................................................ ~ 505.55ms
  2026-03-11 20:07:13 /api/reseller/customers ............................................................ ~ 514.82ms
  2026-03-11 20:07:19 /api/auth/login .................................................................... ~ 504.15ms
  2026-03-11 20:07:21 /api/online-widget/settings ........................................................ ~ 507.65ms
  2026-03-11 20:07:21 /api/reseller/customers ............................................................ ~ 513.44ms
  2026-03-11 20:07:21 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:07:22 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:07:22 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:07:23 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:07:23 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:07:24 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:07:24 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:07:25 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:07:25 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:07:26 /api/reseller/online-users ......................................................... ~ 513.99ms
  2026-03-11 20:07:27 /api/reseller/customers .................................................................. ~ 1s
  2026-03-11 20:07:28 /api/auth/login .................................................................... ~ 512.11ms
  2026-03-11 20:07:29 /api/online-widget/settings ........................................................ ~ 510.02ms
  2026-03-11 20:07:29 /api/bios-conflicts ...................................................................... ~ 1s
  2026-03-11 20:07:30 /api/online-users ........................................................................ ~ 1s
  2026-03-11 20:07:31 /api/bios-conflicts ...................................................................... ~ 1s
  2026-03-11 20:07:32 /api/online-widget/settings ........................................................ ~ 515.25ms
  2026-03-11 20:07:32 /api/reseller-logs ....................................................................... ~ 1s
  2026-03-11 20:07:33 /api/team ................................................................................ ~ 1s
  2026-03-11 20:07:33 /api/online-users ........................................................................ ~ 1s
  2026-03-11 20:07:35 /api/reseller-logs ................................................................. ~ 513.43ms
  2026-03-11 20:07:35 /api/auth/login .................................................................... ~ 512.50ms
  2026-03-11 20:07:36 /api/online-widget/settings ........................................................ ~ 514.03ms
  2026-03-11 20:07:36 /api/super-admin/users ................................................................... ~ 1s
  2026-03-11 20:07:36 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:07:36 /api/super-admin/tenants ................................................................. ~ 2s
  2026-03-11 20:07:39 /api/super-admin/users ................................................................... ~ 1s
  2026-03-11 20:07:40 /api/online-widget/settings ........................................................ ~ 514.75ms
  2026-03-11 20:07:40 /api/super-admin/tenants ................................................................. ~ 1s
  2026-03-11 20:07:40 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:07:42 /api/super-admin/tenants ........................................................... ~ 503.76ms
  2026-03-11 20:08:01 /api/auth/login .................................................................... ~ 502.86ms
  2026-03-11 20:08:02 /api/online-widget/settings ........................................................ ~ 505.58ms
  2026-03-11 20:08:03 /api/reseller-logs ................................................................. ~ 509.56ms
